sort_order,wmo,name,history_product,time_zone_name,TDZ,aifstime_utc,aifstime_local,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,press_tend,rain_hour,rain_ten,rain_trace,rain_trace_time,rain_trace_time_utc,local_9am_date_time,local_9am_date_time_utc,duration_from_local_9am_date,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd_kt,wind_src
0,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T10:30:00Z,20230601063000,-27.467,153.026,2.9,-,-9999,-9999,-9999,-,0.3,4,2,4.3,3.6,-9999,-9999,-9999,-,0,0,0,20230601063000,20230531203000,20230531090000,20230530230000,1290,95,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
1,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T10:00:00Z,20230601060000,-27.467,153.026,4,-,-9999,-9999,-9999,-,0.2,0,0,5.2,4.8,-9999,-9999,-9999,-,0,0,0,20230601060000,20230531200000,20230531090000,20230530230000,1260,97,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
2,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T09:30:00Z,20230601053000,-27.467,153.026,3.9,-,-9999,-9999,-9999,-,0.3,4,2,5.1,4.5,-9999,-9999,-9999,-,0,0,0,20230601053000,20230531193000,20230531090000,20230530230000,1230,96,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
3,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T09:00:00Z,20230601050000,-27.467,153.026,2.7,-,-9999,-9999,-9999,-,0.5,0,0,4.2,3,-9999,-9999,-9999,-,0,0,0,20230601050000,20230531190000,20230531090000,20230530230000,1200,92,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
4,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T08:30:00Z,20230601043000,-27.467,153.026,3.8,-,-9999,-9999,-9999,-,0.4,0,0,5.1,4.1,-9999,-9999,-9999,-,0,0,0,20230601043000,20230531183000,20230531090000,20230530230000,1170,93,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
5,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T08:00:00Z,20230601040000,-27.467,153.026,4,-,-9999,-9999,-9999,-,0.7,0,0,5.4,3.7,-9999,-9999,-9999,-,0,0,0,20230601040000,20230531180000,20230531090000,20230530230000,1140,89,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
6,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T07:30:00Z,20230601033000,-27.467,153.026,5.8,-,-9999,-9999,-9999,-,0.5,0,0,6.8,5.6,-9999,-9999,-9999,-,0,0,0,20230601033000,20230531173000,20230531090000,20230530230000,1110,92,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
7,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T07:00:00Z,20230601030000,-27.467,153.026,6.3,-,-9999,-9999,-9999,-,0.8,0,0,7.3,5.6,-9999,-9999,-9999,-,0,0,0,20230601030000,20230531170000,20230531090000,20230530230000,1080,89,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
8,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T06:30:00Z,20230601023000,-27.467,153.026,6.2,-,-9999,-9999,-9999,-,1.1,4,2,7.7,5.2,-9999,-9999,-9999,-,0,0,0,20230601023000,20230531163000,20230531090000,20230530230000,1050,84,-,-,-9999,-9999,-,-,NNW,346,2,1,metar_10
9,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T06:00:00Z,20230601020000,-27.467,153.026,6.9,-,-9999,-9999,-9999,-,1.1,4,2,8.6,6.1,-9999,-9999,-9999,-,0,0,0,20230601020000,20230531160000,20230531090000,20230530230000,1020,84,-,-,-9999,-9999,-,-,WNW,289,4,2,metar_10
10,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T05:30:00Z,20230601013000,-27.467,153.026,7.6,-,-9999,-9999,-9999,-,1.1,0,0,8.5,6.1,-9999,-9999,-9999,-,0,0,0,20230601013000,20230531153000,20230531090000,20230530230000,990,85,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
11,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T05:00:00Z,20230601010000,-27.467,153.026,7.2,-,-9999,-9999,-9999,-,1.3,6,3,8.6,5.7,-9999,-9999,-9999,-,0,0,0,20230601010000,20230531150000,20230531090000,20230530230000,960,82,-,-,-9999,-9999,-,-,WNW,298,2,1,metar_10
12,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T04:30:00Z,20230601003000,-27.467,153.026,6.7,-,-9999,-9999,-9999,-,1.6,7,4,8.9,5.3,-9999,-9999,-9999,-,0,0,0,20230601003000,20230531143000,20230531090000,20230530230000,930,78,-,-,-9999,-9999,-,-,W,267,6,3,metar_10
13,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T04:00:00Z,20230601000000,-27.467,153.026,8.9,-,-9999,-9999,-9999,-,2.1,7,4,10.6,6,-9999,-9999,-9999,-,0,0,0,20230601000000,20230531140000,20230531090000,20230530230000,900,73,-,-,-9999,-9999,-,-,W,271,4,2,metar_10
14,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T03:30:00Z,20230531233000,-27.467,153.026,8.8,-,-9999,-9999,-9999,-,2.5,13,7,11.4,6.1,-9999,-9999,-9999,-,0,0,0,20230531233000,20230531133000,20230531090000,20230530230000,870,70,-,-,-9999,-9999,-,-,WSW,258,9,5,metar_10
15,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T03:00:00Z,20230531230000,-27.467,153.026,10.1,-,-9999,-9999,-9999,-,2.6,9,5,11.4,5.9,-9999,-9999,-9999,-,0,0,0,20230531230000,20230531130000,20230531090000,20230530230000,840,69,-,-,-9999,-9999,-,-,WNW,300,2,1,metar_10
16,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T02:30:00Z,20230531223000,-27.467,153.026,9.6,-,-9999,-9999,-9999,-,2.6,11,6,11.6,6.1,-9999,-9999,-9999,-,0,0,0,20230531223000,20230531123000,20230531090000,20230530230000,810,69,-,-,-9999,-9999,-,-,W,271,6,3,metar_10
17,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T02:00:00Z,20230531220000,-27.467,153.026,8.2,-,-9999,-9999,-9999,-,2.5,13,7,11.2,5.9,-9999,-9999,-9999,-,0,0,0,20230531220000,20230531120000,20230531090000,20230530230000,780,70,-,-,-9999,-9999,-,-,WNW,290,11,6,metar_10
18,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T01:30:00Z,20230531213000,-27.467,153.026,8.7,-,-9999,-9999,-9999,-,2.3,7,4,10.8,5.8,-9999,-9999,-9999,-,0,0,0,20230531213000,20230531113000,20230531090000,20230530230000,750,71,-,-,-9999,-9999,-,-,WNW,288,6,3,metar_10
19,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T01:00:00Z,20230531210000,-27.467,153.026,9,-,-9999,-9999,-9999,-,2.3,7,4,10.7,5.7,-9999,-9999,-9999,-,0,0,0,20230531210000,20230531110000,20230531090000,20230530230000,720,71,-,-,-9999,-9999,-,-,W,278,4,2,metar_10
20,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T00:30:00Z,20230531203000,-27.467,153.026,8.2,-,-9999,-9999,-9999,-,1.9,7,4,10.2,6.2,-9999,-9999,-9999,-,0,0,0,20230531203000,20230531103000,20230531090000,20230530230000,690,76,-,-,-9999,-9999,-,-,WSW,246,6,3,metar_10
21,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-31T00:00:00Z,20230531200000,-27.467,153.026,9.3,-,-9999,-9999,-9999,-,1.4,0,0,10,7.1,-9999,-9999,-9999,-,0,0,0,20230531200000,20230531100000,20230531090000,20230530230000,660,82,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
22,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-30T23:30:00Z,20230531193000,-27.467,153.026,10.1,-,-9999,-9999,-9999,-,2,0,0,10.9,6.6,-9999,-9999,-9999,-,0,0,0,20230531193000,20230531093000,20230531090000,20230530230000,630,75,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
23,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-30T23:00:00Z,20230531190000,-27.467,153.026,11.5,-,-9999,-9999,-9999,-,2.4,6,3,12.1,7.2,-9999,-9999,-9999,-,0,0,0,20230531190000,20230531090000,20230531090000,20230530230000,600,72,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
24,12345,Brisbane,IDQ60910,Australia/Brisbane,+10:00,2023-05-30T22:30:00Z,20230531183000,-27.467,153.026,12.6,-,-9999,-9999,-9999,-,3.1,6,3,13.3,6.9,-9999,-9999,-9999,-,0,0,0,20230531183000,20230531083000,20230531090000,20230530230000,570,65,-,-,-9999,-9999,-,-,CALM,0,0,0,metar_10
