Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Mean maximum temperature (Degrees C) for years 1958 to 2022 ,22.7,22.3,20.8,18.2,15.3,13,12.6,13.5,15.5,17.4,19.1,20.8,17.6,64,1958,2022
Highest temperature (Degrees C) for years 1958 to 2022 ,41.4,39.8,38.1,31.8,25.6,19.6,20.4,23.7,31.1,33.4,38.5,40.8,41.4,64,1958,2022
Date of Highest temperature for years 1958 to 2022 ,31-Jan-20,15-Feb-82,2-Mar-19,3-Apr-21,1-May-97,7-Jun-15,30-Jul-75,31-Aug-06,27-Sep-87,12-Oct-06,23-Nov-66,30-Dec-19,31-Jan-20,N/A,1958,2022
Lowest maximum temperature (Degrees C) for years 1958 to 2022 ,13.2,9.7,12.1,8.9,7.8,4.5,5.4,5.8,7.2,6.9,10.5,11.1,4.5,64,1958,2022
Date of Lowest maximum temperature for years 1958 to 2022 ,4-Jan-00,23-Feb-64,8-Mar-87,25-Apr-67,24-May-68,18-Jun-85,9-Jul-96,4-Aug-74,19-Sep-94,23-Oct-58,11-Nov-65,12-Dec-64,18-Jun-85,N/A,1958,2022
Decile 1 maximum temperature (Degrees C) for years 1958 to 2021 ,17.5,17.4,16.2,13.9,11.8,9.8,9.7,10.1,11.5,12.9,14.3,16, ,59,1958,2021
Decile 9 maximum temperature (Degrees C) for years 1958 to 2021 ,28.7,28.2,26.2,22.8,19,16.2,15.4,16.8,19.3,22.5,24.4,26, ,59,1958,2021
Mean number of days >= 30 Degrees C for years 1958 to 2022 ,2.5,1.6,0.9,0,0,0,0,0,0,0.1,0.7,1.3,7.1,64,1958,2022
Mean number of days >= 35 Degrees C for years 1958 to 2022 ,0.6,0.4,0.1,0,0,0,0,0,0,0,0,0.3,1.4,64,1958,2022
Mean number of days >= 40 Degrees C for years 1958 to 2022 ,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,64,1958,2022
Mean minimum temperature (Degrees C) for years 1958 to 2022 ,12.2,12.1,10.8,8.8,6.7,4.7,4.2,4.7,6.1,7.6,9.3,10.9,8.2,64,1958,2022
Lowest temperature (Degrees C) for years 1958 to 2022 ,3.7,3.4,2.2,-0.6,-2.2,-3.9,-3.2,-2,-2.3,-1,1.7,2.7,-3.9,64,1958,2022
Date of Lowest temperature for years 1958 to 2022 ,18-Jan-66,10-Feb-80,31-Mar-87,26-Apr-82,29-May-79,23-Jun-72,1-Jul-68,3-Aug-79,1-Sep-59,5-Oct-65,4-Nov-15,1-Dec-60,23-Jun-72,N/A,1958,2022
Highest minimum temperature (Degrees C) for years 1958 to 2022 ,23.2,23.6,21,18.6,16,15.1,12.3,14.3,17.3,18.6,18.8,22.3,23.6,64,1958,2022
Date of Highest minimum temperature for years 1958 to 2022 ,29-Jan-18,1-Feb-74,16-Mar-17,3-Apr-89,5-May-05,6-Jun-16,18-Jul-72,30-Aug-05,24-Sep-87,19-Oct-17,26-Nov-91,30-Dec-02,1-Feb-74,N/A,1958,2022
Decile 1 minimum temperature (Degrees C) for years 1958 to 2021 ,8.4,8.1,6.8,5,2.9,1.3,1.1,1.5,2.6,3.7,5.4,7.2, ,59,1958,2021
Decile 9 minimum temperature (Degrees C) for years 1958 to 2021 ,15.6,15.6,14.5,12.7,10.3,8.3,7.3,8.1,9.7,11.2,12.8,14.2, ,59,1958,2021
Mean number of days <= 2 Degrees C for years 1958 to 2022 ,0,0,0,0.2,1.4,5.6,6.3,4.8,1.7,0.6,0,0,20.6,64,1958,2022
Mean number of days <= 0 Degrees C for years 1958 to 2022 ,0,0,0,0,0.2,0.8,1.1,0.6,0.1,0.1,0,0,2.9,64,1958,2022
Mean daily ground minimum temperature Degrees C for years 1958 to 2022 ,9.4,9.4,7.9,5.6,3.4,1.7,1.3,1.7,3,4.6,6.3,8,5.2,61,1958,2022
Lowest ground temperature Degrees C for years 1958 to 2022 ,-0.5,-0.5,-2.6,-3.6,-7.2,-6.4,-7.7,-6.6,-11.1,-4.1,-3.1,-2.4,-11.1,61,1958,2022
Date of Lowest ground temperature  for years 1958 to 2022 ,2-Jan-74,16-Feb-75,31-Mar-73,26-Apr-82,29-May-79,23-Jun-72,30-Jul-71,7-Aug-60,10-Sep-96,4-Oct-62,4-Nov-15,2-Dec-96,10-Sep-96,N/A,1958,2022
Mean number of days ground min. temp. <= -1 Degrees C for years 1958 to 2022 ,0,0,0.1,0.7,3.3,7.2,7.7,6.2,3.2,1.6,0.4,0.1,30.5,61,1958,2022
Mean rainfall (mm) for years 1958 to 2022 ,40.3,35.4,36.5,40.5,35.7,34,41.7,47.2,40.2,47.1,44.3,52.1,492,63,1958,2022
Highest rainfall (mm) for years 1958 to 2022 ,101.4,186.4,112.4,250.7,112.8,136.2,156.1,115.4,117.8,135.4,103,169.8,735.4,64,1958,2022
Date of Highest rainfall for years 1958 to 2022 ,2015,1964,2003,1960,1969,2009,1967,1958,2005,2021,2001,1993,1975,N/A,1958,2022
Lowest rainfall (mm) for years 1958 to 2022 ,2.6,3.2,1.8,7.4,3.4,4.2,4.8,6.8,9,7.8,1.8,0.8,297.2,64,1958,2022
Date of Lowest rainfall for years 1958 to 2022 ,2008,2001,1992,1993,1991,2010,2010,1982,2018,2015,2003,1994,2006,N/A,1958,2022
Decile 1 monthly rainfall (mm) for years 1958 to 2022 ,10.5,9.6,13.4,13.4,15.1,11.5,13.8,14.9,17.9,18.6,15.8,17.7,354.4,64,1958,2022
Decile 5 (median) monthly rainfall (mm) for years 1958 to 2022 ,32.2,27.2,29.3,29.2,30.1,27.9,31.7,42.1,35.7,39,40.3,43.4,473.2,64,1958,2022
Decile 9 monthly rainfall (mm) for years 1958 to 2022 ,86.6,63.6,71.4,80.4,62.1,64.5,74.5,83,67.5,92.1,80.3,100.3,660.9,64,1958,2022
